Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column11	Column12
Utirik Airport	Utirik Island	Marshall Islands	UTK	03N	11.222	169.852005	U	Pacific/Majuro
Ocean Reef Club Airport	Ocean Reef Club Airport	United States	OCA	07FA	25.3253994	-80.27480316	A	America/New_York
Glasgow Industrial Airport	Glasgow	United States	\N	07MT	48.42110062	-106.5279999	A	America/Denver
Oconomowoc Airport	Oconomowoc	United States	\N	0WI8	43.13890076	-88.47229767	A	America/Chicago
Sky Ranch At Carefree Airport	Carefree	United States	\N	18AZ	33.81809998	-111.8980026	N	America/Phoenix
Mobile Airport	Mobile	United States	\N	1AZ0	33.11190033	-112.2689972	U	America/Phoenix
Earl L. Small Jr. Field/Stockmar Airport	Villa Rica	United States	\N	20GA	33.75650024	-84.88469696	A	America/New_York
The Farm Airport	Summit	United States	\N	24SC	33.93579865	-81.42970276	A	\N
Air Orlando Heliport	Orlando	United States	\N	2FD7	28.43560028	-81.47309875	A	\N
Benson Airstrip	Uvalde	United States	\N	2XS8	29.22940063	-99.82389832	A	America/Chicago
Aleknagik / New Airport	Aleknagik	United States	WKK	5A8	59.2826004	-158.6179962	A	America/Anchorage
Lathan Strip	Mocksville	United States	\N	5NC2	34.87630081	-80.61920166	A	\N
Rancho San Simeon Airport	Cambria	United States	\N	66CA	35.60770035	-121.1100006	A	America/Los_Angeles
Sugar Loaf Shores Airport	Key West	United States	\N	7FA1	24.6487999	-81.57980347	A	America/New_York
Haller Airpark	Green Cove Springs	United States	\N	7FL4	29.904057	-81.68515	A	America/New_York
Afutara Aerodrome	Afutara	Solomon Islands	AFT	AGAF	-9.191388889	160.9486111	U	Pacific/Guadalcanal
Ulawa Airport	Ulawa	Solomon Islands	RNA	AGAR	-9.860543583	161.9795465	U	Pacific/Guadalcanal
Uru Harbour Airport	Atoifi	Solomon Islands	ATD	AGAT	-8.87333	161.011002	U	Pacific/Guadalcanal
Batuna Aerodrome	Batuna	Solomon Islands	BPF	AGBT	-8.562027778	158.1193056	U	Pacific/Guadalcanal
Gwaunaru'u Airport	Auki	Solomon Islands	AKS	AGGA	-8.70257	160.682007	U	Pacific/Guadalcanal
Choiseul Bay Airport	Choiseul Bay	Solomon Islands	CHY	AGGC	-6.711944	156.396111	U	Pacific/Guadalcanal
Ballalae Airport	Ballalae	Solomon Islands	BAS	AGGE	-6.990745	155.886656	U	Pacific/Guadalcanal
Fera/Maringe Airport	Fera Island	Solomon Islands	FRE	AGGF	-8.1075	159.576996	U	Pacific/Guadalcanal
Honiara International Airport	Honiara	Solomon Islands	HIR	AGGH	-9.42800045	160.0549927	U	Pacific/Guadalcanal
Babanakira Airport	Mbambanakira	Solomon Islands	MBU	AGGI	-9.74750042	159.8390045	U	Pacific/Guadalcanal
Ngorangora Airport	Kirakira	Solomon Islands	IRA	AGGK	-10.44970036	161.897995	U	Pacific/Guadalcanal
Santa Cruz/Graciosa Bay/Luova Airport	Santa Cruz/Graciosa Bay/Luova	Solomon Islands	SCZ	AGGL	-10.72029972	165.7949982	U	Pacific/Guadalcanal
Munda Airport	Munda	Solomon Islands	MUA	AGGM	-8.327969551	157.2630005	U	Pacific/Guadalcanal
Nusatupe Airport	Gizo	Solomon Islands	GZO	AGGN	-8.097780228	156.8639984	U	Pacific/Guadalcanal
Mono Airport	Stirling Island	Solomon Islands	MNY	AGGO	-7.416940212	155.5650024	U	Pacific/Guadalcanal
Rennell/Tingoa Airport	Rennell Island	Solomon Islands	RNL	AGGR	-11.53390026	160.0630035	U	Pacific/Guadalcanal
Sege Airport	Sege	Solomon Islands	EGM	AGGS	-8.578889847	157.8760071	U	Pacific/Guadalcanal
Santa Ana Airport	Santa Ana	Solomon Islands	NNB	AGGT	-10.847994	162.454108	U	Pacific/Guadalcanal
Marau Airport	Marau	Solomon Islands	RUS	AGGU	-9.86166954	160.8249969	U	Pacific/Guadalcanal
Suavanao Airport	Suavanao	Solomon Islands	VAO	AGGV	-7.585559845	158.7310028	U	Pacific/Guadalcanal
Yandina Airport	Yandina	Solomon Islands	XYA	AGGY	-9.092816	159.21841	U	Pacific/Guadalcanal
Kaghau Airport	Kagau Island	Solomon Islands	KGE	AGKG	-7.3305	157.585	U	Pacific/Guadalcanal
Ringi Cove Airport	Ringi Cove	Solomon Islands	RIN	AGRC	-8.126390457	157.1430054	U	Pacific/Guadalcanal
Ramata Airport	Ramata	Solomon Islands	RBV	AGRM	-8.168060303	157.6430054	U	Pacific/Guadalcanal
Denali Airport	McKinley Park	United States	\N	AK06	63.64509964	-148.7980042	A	\N
King Ranch Airport	Sutton	United States	\N	AK59	61.79560089	-148.3549957	A	\N
Nauru International Airport	Nauru	Nauru	INU	ANYN	-0.547458	166.919006	U	Pacific/Nauru
Baimuru Airport	Baimuru	Papua New Guinea	VMU	AYBA	-7.496860027	144.8199005	U	Pacific/Port_Moresby
Bodinumu Airport	Bodinumu	Papua New Guinea	BNM	AYBD	-9.107777778	147.6667222	N	\N
Buka Airport	Buka Island	Papua New Guinea	BUA	AYBK	-5.422319889	154.6730042	U	Pacific/Port_Moresby
Balimo Airport	Balimo	Papua New Guinea	OPU	AYBM	-8.050000191	142.9329987	U	Pacific/Port_Moresby
Bulolo Airport	Bulolo	Papua New Guinea	BUL	AYBU	-7.216286671	146.6495419	N	\N
Chimbu Airport	Kundiawa	Papua New Guinea	CMU	AYCH	-6.024290085	144.970993	U	Pacific/Port_Moresby
Daru Airport	Daru	Papua New Guinea	DAU	AYDU	-9.086759567	143.2079926	U	Pacific/Port_Moresby
Efogi Airport	Efogi	Papua New Guinea	EFG	AYEF	-9.153805556	147.6598056	N	\N
Goroka Airport	Goroka	Papua New Guinea	GKA	AYGA	-6.081689835	145.3919983	U	Pacific/Port_Moresby
Gurney Airport	Gurney	Papua New Guinea	GUR	AYGN	-10.3114996	150.3339996	U	Pacific/Port_Moresby
Girua Airport	Girua	Papua New Guinea	PNP	AYGR	-8.80453968	148.3090057	U	Pacific/Port_Moresby
Kimbe Airport	Hoskins	Papua New Guinea	HKN	AYHK	-5.462170124	150.4049988	U	Pacific/Port_Moresby
Kiunga Airport	Kiunga	Papua New Guinea	UNG	AYKI	-6.125710011	141.2819977	U	Pacific/Port_Moresby
Kikori Airport	Kikori	Papua New Guinea	KRI	AYKK	-7.424379826	144.2500763	U	Pacific/Port_Moresby
Kerema Airport	Kerema	Papua New Guinea	KMA	AYKM	-7.963610172	145.7709961	U	Pacific/Port_Moresby
Kagi Airport	Kagi	Papua New Guinea	KGW	AYKQ	-9.135916667	147.6694444	N	\N
Kaintiba Airport	Kieta	Papua New Guinea	KZF	AYKT	-7.50025	146.0338333	U	\N
Kavieng Airport	Kavieng	Papua New Guinea	KVG	AYKV	-2.579400063	150.8079987	U	Pacific/Port_Moresby
Madang Airport	Madang	Papua New Guinea	MAG	AYMD	-5.207079887	145.7890015	U	Pacific/Port_Moresby
Mount Hagen Kagamuga Airport	Mount Hagen	Papua New Guinea	HGU	AYMH	-5.826789856	144.2960052	U	Pacific/Port_Moresby
Mendi Airport	Mendi	Papua New Guinea	MDU	AYMN	-6.14774	143.656998	U	Pacific/Port_Moresby
Momote Airport	Momote	Papua New Guinea	MAS	AYMO	-2.06189	147.423996	U	Pacific/Port_Moresby
Moro Airport	Moro	Papua New Guinea	MXH	AYMR	-6.363329887	143.2380066	U	Pacific/Port_Moresby
Misima Island Airport	Misima Island	Papua New Guinea	MIS	AYMS	-10.6892004	152.8379974	U	Pacific/Port_Moresby
Nadunumu Airport	Nadunumu	Papua New Guinea	NDN	AYNC	-9.143555556	147.68425	N	\N
Nadzab Airport	Nadzab	Papua New Guinea	LAE	AYNZ	-6.569803	146.725977	U	Pacific/Port_Moresby
Port Moresby Jacksons International Airport	Port Moresby	Papua New Guinea	POM	AYPY	-9.443380356	147.2200012	U	Pacific/Port_Moresby
Simberi Airport	Simberi Island	Papua New Guinea	NIS	AYSE	-2.662222222	151.9977778	N	\N
Sasereme Airport	Sasereme	Papua New Guinea	TDS	AYSS	-7.6217	142.868	N	\N
Tari Airport	Tari	Papua New Guinea	TIZ	AYTA	-5.84499979	142.947998	U	Pacific/Port_Moresby
Tabubil Airport	Tabubil	Papua New Guinea	TBG	AYTB	-5.27861	141.225998	U	Pacific/Port_Moresby
Tokua Airport	Tokua	Papua New Guinea	RAB	AYTK	-4.340459824	152.3800049	U	Pacific/Port_Moresby
Vanimo Airport	Vanimo	Papua New Guinea	VAI	AYVN	-2.6926	141.3028	U	Pacific/Port_Moresby
Wapenamanda Airport	Wapenamanda	Papua New Guinea	WBM	AYWD	-5.643300056	143.8950043	U	Pacific/Port_Moresby
Wewak International Airport	Wewak	Papua New Guinea	WWK	AYWK	-3.583830118	143.6690063	U	Pacific/Port_Moresby
Aasiaat Airport	Aasiaat	Greenland	JEG	BGAA	68.72180176	-52.78469849	E	America/Godthab
Aappilattoq (Qaasuitsup) Heliport	Aappilattoq	Greenland	\N	BGAG	72.88702982	-55.59628665	N	\N
Tasiilaq Heliport	Angmagssalik	Greenland	\N	BGAM	65.612296	-37.618335	U	America/Godthab
Alluitsup Paa Heliport	Alluitsup Paa	Greenland	LLU	BGAP	60.46445	-45.56917	E	America/Godthab
Aappilattoq (Kujalleq) Heliport	Aappilattoq	Greenland	\N	BGAQ	60.148357	-44.286916	U	\N
Ammassivik Heliport	Ammassivik	Greenland	\N	BGAS	60.597376	-45.382445	N	\N
Attu Heliport	Attu	Greenland	QGQ	BGAT	67.94066286	-53.62186968	N	\N
Narsarsuaq Airport	Narssarssuaq	Greenland	UAK	BGBW	61.16049957	-45.42599869	E	America/Godthab
Qasigiannguit Heliport	Qasigiannguit	Greenland	JCH	BGCH	68.82281555	-51.17344737	E	America/Godthab
Neerlerit Inaat Airport	Neerlerit Inaat	Greenland	CNP	BGCO	70.74310303	-22.65049934	E	America/Scoresbysund
Eqalugaarsuit Heliport	Eqalugaarsuit	Greenland	QFG	BGET	60.61971965	-45.91406196	N	\N
Narsaq Kujalleq Heliport	Narsaq Kujalleq	Greenland	\N	BGFD	60.004694	-44.656935	N	\N
Paamiut Heliport	Paamiut	Greenland	JFR	BGFH	61.99219894	-49.66249847	E	America/Godthab
Godthaab / Nuuk Airport	Godthaab	Greenland	GOH	BGGH	64.19090271	-51.67810059	E	America/Godthab
Qeqertarsuaq Heliport	Qeqertarsuaq Airport	Greenland	JGO	BGGN	69.25118199	-53.51487637	E	America/Godthab
Ikerasak Heliport	Ikerasak	Greenland	\N	BGIA	70.49814535	-51.3030839	N	\N
Ikerassaarsuk Heliport	Ikerasaarsuk	Greenland	QRY	BGIK	68.14088101	-53.44145894	N	\N
Ilimanaq Heliport	Ilimanaq	Greenland	XIQ	BGIL	69.080915	-51.11431539	N	\N
Innarsuit Heliport	Innaarsuit	Greenland	\N	BGIN	73.19989534	-56.01081669	N	\N
Isortoq Heliport	Isortoq	Greenland	\N	BGIS	65.54779239	-38.97655249	N	\N
Ikamiut Heliport	Ikamiut	Greenland	QJI	BGIT	68.6342531	-51.83226228	N	\N
Qaqortoq Heliport	Qaqortoq	Greenland	JJU	BGJH	60.71568416	-46.02991864	E	America/Godthab
Ilulissat Airport	Ilulissat	Greenland	JAV	BGJN	69.24320221	-51.05709839	E	America/Godthab
Kangaatsiaq Heliport	Kangaatsiaq	Greenland	QPW	BGKA	68.31265749	-53.46020758	N	\N
Upernavik Kujalleq Heliport	Upernavik Kujalleq	Greenland	\N	BGKL	72.15274253	-55.53098559	N	\N
Kuummiut Heliport	Kuummiit	Greenland	\N	BGKM	65.86393474	-36.99791908	N	\N
Kullorsuaq Heliport	Kullorsuaq	Greenland	\N	BGKQ	74.57804983	-57.22682834	N	\N
Kangersuatsiaq Heliport	Kangersuatsiaq	Greenland	\N	BGKS	72.38109155	-55.53658605	N	\N
Kitsissuarsuit Heliport	Kitsissuarsuit	Greenland	QJE	BGKT	68.857926	-53.12329531	N	\N
Illorsuit Heliport	Illorsuit	Greenland	\N	BGLL	71.24194404	-53.56287718	N	\N
Maniitsoq Airport	Maniitsoq	Greenland	JSU	BGMQ	65.41249847	-52.93939972	E	America/Godthab
Niaqornaarsuk Heliport	Niaqornaarsuk	Greenland	\N	BGNK	68.236381	-52.852148	N	\N
Nanortalik Heliport	Nanortalik	Greenland	JNN	BGNN	60.14188398	-45.23297668	E	America/Godthab
Nuugaatsiaq Heliport	Nuugaatsiaq	Greenland	\N	BGNQ	71.53876875	-53.20503831	N	\N
Narsaq Heliport	Narsaq	Greenland	JNS	BGNS	60.91728273	-46.05992317	E	America/Godthab
Niaqornat Heliport	Niaqornat	Greenland	\N	BGNT	70.78938469	-53.66294503	N	\N
Nuussuaq Heliport	Nuussuaq	Greenland	\N	BGNU	74.10985285	-57.06503749	N	\N
Qeqertaq Heliport	Qeqertaq	Greenland	QQT	BGQE	69.99586111	-51.30091667	N	\N
Qaanaaq Airport	Qaanaaq	Greenland	NAQ	BGQQ	77.48860168	-69.38870239	E	America/Thule
Qassimiut Heliport	Qassimiut	Greenland	\N	BGQT	60.78095923	-47.15624928	N	\N
Ittoqqortoormiit Heliport	Ittoqqortoormiit	Greenland	OBY	BGSC	70.48822882	-21.97167993	U	America/Scoresbysund
Kangerlussuaq Airport	Sondrestrom	Greenland	SFJ	BGSF	67.0122219	-50.71160316	E	America/Godthab
Sermiligaaq Heliport	Sermiligaaq	Greenland	\N	BGSG	65.90591976	-36.3782537	N	\N
Siorapaluk Heliport	Siorapaluk	Greenland	\N	BGSI	77.78651735	-70.63865662	N	\N
Saqqaq Heliport	Saqqaq	Greenland	\N	BGSQ	70.011448	-51.932142	N	\N
Sisimiut Airport	Sisimiut	Greenland	JHS	BGSS	66.95130157	-53.72930145	E	America/Godthab
Saattut Heliport	Saattut	Greenland	\N	BGST	70.81117198	-51.63128972	N	\N
Savissivik Heliport	Savissivik	Greenland	\N	BGSV	76.01861346	-65.11768341	N	\N
Tasiusaq (Qaasuitsup) Heliport	Tasiusaq	Greenland	\N	BGTA	73.3730545	-56.06027985	N	\N
Thule Air Base	Thule	Greenland	THU	BGTL	76.53119659	-68.70320129	E	America/Thule
Tiniteqilaaq Heliport	Tiniteqilaaq	Greenland	\N	BGTN	65.89202734	-37.78340936	N	\N
Tasiusaq (Kujalleq) Heliport	Tasiusaq	Greenland	\N	BGTQ	60.19430531	-44.813447	N	\N
Upernavik Airport	Upernavik	Greenland	JUV	BGUK	72.79019928	-56.13059998	E	America/Godthab
Uummannaq Heliport	Uummannaq	Greenland	UMD	BGUM	70.68042793	-52.11163044	E	America/Godthab
Qaarsut Airport	Uummannaq	Greenland	JQA	BGUQ	70.73419952	-52.69620132	E	America/Godthab
Ukkusissat Heliport	Ukkusissat	Greenland	\N	BGUT	71.04943849	-51.8900156	N	\N
Akureyri Airport	Akureyri	Iceland	AEY	BIAR	65.66000366	-18.0727005	N	Atlantic/Reykjavik
Bakki Airport	Bakki	Iceland	\N	BIBA	63.55609894	-20.13750076	N	Atlantic/Reykjavik
Bildudalur Airport	Bildudalur	Iceland	BIU	BIBD	65.64129639	-23.5461998	N	Atlantic/Reykjavik
Egilsstaðir Airport	Egilsstadir	Iceland	EGS	BIEG	65.28330231	-14.40139961	N	Atlantic/Reykjavik
Grundarfjörður Airport	Grundarfjordur	Iceland	GUU	BIGF	64.99140167	-23.22470093	U	\N
Gjögur Airport	Gjogur	Iceland	GJR	BIGJ	65.99530029	-21.32690048	N	Atlantic/Reykjavik
Grímsey Airport	Grímsey	Iceland	GRY	BIGR	66.5458	-18.0173	N	Atlantic/Reykjavik
Hornafjörður Airport	Hofn	Iceland	HFN	BIHN	64.295601	-15.2272	N	Atlantic/Reykjavik
Húsavík Airport	Husavik	Iceland	HZK	BIHU	65.952301	-17.426001	N	Atlantic/Reykjavik
Ísafjörður Airport	Isafjordur	Iceland	IFJ	BIIS	66.05809784	-23.13529968	N	Atlantic/Reykjavik
Keflavik International Airport	Keflavik	Iceland	KEF	BIKF	63.98500061	-22.60560036	N	Atlantic/Reykjavik
Kirkjubæjarklaustur Airport	Kirkjubaejarklaustur 	Iceland	\N	BIKL	63.79079819	-18.00139999	N	\N
Sauðárkrókur Airport	Saudarkrokur	Iceland	SAK	BIKR	65.73169708	-19.57279968	N	Atlantic/Reykjavik
Norðfjörður Airport	Nordfjordur	Iceland	NOR	BINF	65.13189697	-13.74639988	E	Atlantic/Reykjavik
Patreksfjörður Airport	Patreksfjordur	Iceland	PFJ	BIPA	65.555801	-23.965	N	Atlantic/Reykjavik
Reykjavik Airport	Reykjavik	Iceland	RKV	BIRK	64.12999725	-21.94059944	N	Atlantic/Reykjavik
Reykjahlíð Airport	Myvatn	Iceland	MVA	BIRL	65.65579987	-16.91810036	N	Atlantic/Reykjavik
Selfoss Airport	Selfoss	Iceland	\N	BISF	63.92919922	-21.03779984	N	Atlantic/Reykjavik
Siglufjörður Airport	Siglufjordur	Iceland	SIJ	BISI	66.133301	-18.9167	N	Atlantic/Reykjavik
Thorshofn Airport	Thorshofn	Iceland	THO	BITN	66.21849823	-15.3355999	N	Atlantic/Reykjavik
Vestmannaeyjar Airport	Vestmannaeyjar	Iceland	VEY	BIVM	63.42430115	-20.27890015	N	Atlantic/Reykjavik
Vopnafjörður Airport	Vopnafjörður	Iceland	VPN	BIVO	65.72059631	-14.85060024	N	Atlantic/Reykjavik
Priština International Airport	Pristina	Serbia	PRN	BKPR	42.5728	21.035801	E	Europe/Belgrade
Bedwell Harbour Seaplane Base	Bedwell Harbour	Canada	YBW	CAB3	48.75	-123.2330017	A	America/Vancouver
Nanaimo Harbour Water Airport	Nanaimo	Canada	ZNA	CAC8	49.18330002	-123.9499969	A	America/Vancouver
Trail Airport	Trail	Canada	YZZ	CAD4	49.05559921	-117.6090012	A	America/Vancouver
Whistler/Green Lake Water Aerodrome	Whistler	Canada	YWS	CAE5	50.14360046	-122.9489975	A	America/Vancouver
Anahim Lake Airport	Anahim Lake	Canada	YAA	CAJ4	52.45249939	-125.3030014	A	America/Vancouver
Vancouver International Seaplane Base	Vancouver	Canada	\N	CAM9	49.177047	-123.168154	A	\N
Victoria Airport	Patricia Bay	Canada	\N	CAP5	48.65389205	-123.4504509	A	America/Vancouver
Coal Harbour Seaplane Base	Vancouver	Canada	\N	CAQ3	50.59999847	-127.5830002	A	America/Vancouver
One Hundred Mile House Airport	One Hundred Mile House	Canada	\N	CAV3	51.64250183	-121.3069992	A	America/Vancouver
Port Hardy Seaplane Base	Port Hardy	Canada	\N	CAW5	50.71670151	-127.4830017	A	\N
Ganges Seaplane Base	Ganges	Canada	YGG	CAX6	48.8545	-123.4969	A	America/Vancouver
Ospika Airport	Williston Lake	Canada	\N	CBA9	56.27500153	-124.052002	A	\N
Harbour (Public) Heliport	Vancouver	Canada	\N	CBC7	49.28689211	-123.1061123	A	\N
Victoria Harbour (Camel Point) Heliport	Victoria	Canada	\N	CBF7	48.41809845	-123.3880005	A	\N
Bob Quinn Lake Airport	Bob Quinn Lake	Canada	YBO	CBW4	56.96670151	-130.25	U	America/Vancouver
Williams Harbour Airport	Williams Harbour	Canada	YWM	CCA6	52.56689835	-55.78469849	A	America/St_Johns
Postville Airport	Postville	Canada	YSO	CCD4	54.9105	-59.78507	A	America/Halifax
Black Tickle Airport	Black Tickle	Canada	YBI	CCE4	53.4693985	-55.78499985	A	America/Halifax
Charlottetown Airport	Charlottetown	Canada	\N	CCH4	52.76499939	-56.11560059	A	\N
St. Lewis (Fox Harbour) Airport	St. Lewis	Canada	YFX	CCK4	52.37279892	-55.6739006	A	America/St_Johns
Port Hope Simpson Airport	Port Hope Simpson	Canada	YHA	CCP4	52.52809906	-56.28609848	A	America/St_Johns
Waterville / Kings County Municipal Airport	Waterville	Canada	\N	CCW3	45.05189896	-64.65170288	A	America/Halifax
Rigolet Airport	Rigolet	Canada	YRG	CCZ2	54.17969894	-58.45750046	A	America/Halifax
Clarenville Airport	Clarenville	Canada	\N	CCZ3	48.27470016	-53.9239006	A	\N
Digby (General Hospital) Heliport	Tremblay-en-France	France	\N	CDG2	44.61610031	-65.76190186	E	\N
Doris Lake	Doris Lake	Canada	JOJ	CDL7	68.12527466	-106.5852814	A	\N
Dunnville Airport	Dunnville	Canada	DU9	CDU9	42.87220001	-79.59580231	A	\N
Colville Lake Airport	Colville Lake	Canada	YCK	CEB3	67.0392	-126.08	A	America/Edmonton
Hinton/Jasper-Hinton Airport	Hinton	Canada	YJP	CEC4	53.31919861	-117.7529984	A	\N
Drumheller Municipal Airport	Drumheller	Canada	\N	CEG4	51.49639893	-112.7490005	A	\N
Whatì Airport	Whatì	Canada	YLE	CEM3	63.13169861	-117.2460022	A	America/Edmonton
Canmore Municipal Heliport	Canmore	Canada	\N	CEW9	51.07780075	-115.3379974	A	\N
Whitehorse Seaplane Base	Whitehorse	Canada	\N	CEZ5	60.69110107	-135.0370026	A	\N
Wekweètì Airport	Wekweeti	Canada	YFJ	CFJ2	64.190804	-114.077002	A	America/Edmonton
Kenora Seaplane Base	Kenora	Canada	\N	CJM9	49.767424	-94.49274	A	\N
Matheson Island Airport	Matheson Island	Canada	\N	CJT2	51.73220062	-96.93440247	A	America/Winnipeg
Summer Beaver Airport	Summer Beaver	Canada	SUR	CJV7	52.70859909	-88.54190063	A	America/Toronto
Old Arctic Bay Airport	Arctic Bay	Canada	YAB	CJX7	73.00589225	-85.0325489	A	America/Winnipeg
Wapekeka Airport	Angling Lake	Canada	YAX	CKB6	53.8492012	-89.57939911	A	America/Winnipeg
Slate Falls Airport	Slate Falls	Canada	\N	CKD9	51.13000107	-91.66560364	A	America/Winnipeg
Wunnumin Lake Airport	Wunnumin Lake	Canada	WNN	CKL3	52.89390182	-89.28919983	A	America/Toronto
Opapimiskan Lake Airport	Musselwhite Mine	Canada	YBS	CKM8	52.6067009	-90.37689972	A	\N
North Spirit Lake Airport	North Spirit Lake	Canada	YNO	CKQ3	52.49000168	-92.97109985	A	America/Winnipeg
Holland Landing Airpark	Holland Landing	Canada	\N	CLA4	44.08940125	-79.49500275	A	America/Toronto
Brampton Airport	Brampton	Canada	\N	CNC3	43.76029968	-79.875	A	America/Toronto
Stanhope Municipal Airport	Haliburton	Canada	\N	CND4	45.11083333	-78.64	A	America/Toronto
Bearskin Lake Airport	Bearskin Lake	Canada	XBE	CNE3	53.96559906	-91.02719879	A	America/Winnipeg
Kawartha Lakes (Lindsay) Airport	Lindsay	Canada	\N	CNF4	44.3647	-78.783897	A	America/Toronto
Natuashish Airport	Natuashish	Canada	YNP	CNH2	55.913898	-61.184399	A	America/Halifax
Orillia Airport	Orillia	Canada	\N	CNJ4	44.67765578	-79.3102169	A	America/Toronto
Parry Sound Area Municipal Airport	Parry Sound	Canada	YPD	CNK4	45.2575	-79.829697	A	America/Toronto
Kingfisher Lake Airport	Kingfisher Lake	Canada	KIF	CNM5	53.01250076	-89.8553009	A	America/Toronto
Ogoki Post Airport	Ogoki Post	Canada	YOG	CNT3	51.65859985	-85.90170288	A	America/Toronto
Markham Airport	Markham	Canada	\N	CNU8	43.93579865	-79.2621994	A	America/Toronto
Edenvale Aerodrome	Edenvale	Canada	\N	CNV8	44.441101	-79.962799	A	America/Toronto
Collingwood Airport	Collingwood	Canada	\N	CNY3	44.44919968	-80.15830231	A	America/Toronto
Flagler Aerial Spraying Inc Airport	Flagler	United States	\N	CO00	39.27999878	-103.0670013	A	\N
Poplar Hill Airport	Poplar Hill	Canada	YHP	CPV7	52.1133	-94.2556	A	America/Winnipeg
Keewaywin Airport	Keewaywin	Canada	KEW	CPV8	52.99110031	-92.83640289	A	America/Winnipeg
Chisasibi Airport	Chisasibi	Canada	YKU	CSU2	53.80559921	-78.91690063	A	America/Toronto
Tête-à-la-Baleine Airport	Tête-à-la-Baleine	Canada	ZTB	CTB6	50.67440033	-59.38359833	A	America/Blanc-Sablon
Kegaska Airport	Kegaska	Canada	ZKG	CTK6	50.19580078	-61.26580048	A	America/Blanc-Sablon
La Romaine Airport	La Romaine	Canada	ZGS	CTT5	50.259701	-60.679401	A	America/Blanc-Sablon
La Tabatière Airport	La Tabatière	Canada	ZLT	CTU5	50.8307991	-58.9756012	A	America/Blanc-Sablon
Cat Lake Airport	Cat Lake	Canada	YAC	CYAC	51.72719955	-91.82440186	A	America/Winnipeg
Fort Frances Municipal Airport	Fort Frances	Canada	YAG	CYAG	48.65420151	-93.43969727	A	America/Winnipeg
La Grande-4 Airport	La Grande-4	Canada	YAH	CYAH	53.75469971	-73.6753006	\N	\N
Alert Bay Airport	Alert Bay	Canada	YAL	CYAL	50.5821991	-126.9160004	\N	\N
Sault Ste Marie Airport	Sault Sainte Marie	Canada	YAM	CYAM	46.48500061	-84.50939941	A	America/Toronto
Kasabonika Airport	Kasabonika	Canada	XKS	CYAQ	53.52470016	-88.64279938	A	America/Toronto
Kangirsuk Airport	Kangirsuk	Canada	YKG	CYAS	60.02719879	-69.99919891	A	America/Toronto
Attawapiskat Airport	Attawapiskat	Canada	YAT	CYAT	52.92750168	-82.43190002	A	America/Toronto
Liverpool South Shore Regional Airport	Liverpool	Canada	\N	CYAU	44.2303009	-64.85610199	\N	\N
Winnipeg / St. Andrews Airport	Winnipeg	Canada	\N	CYAV	50.0564003	-97.03250122	A	America/Winnipeg
Halifax / CFB Shearwater Heliport	Halifax	Canada	\N	CYAW	44.639702	-63.499401	A	America/Halifax
Lac Du Bonnet Airport	Lac Du Bonnet	Canada	\N	CYAX	50.29439926	-96.01000214	A	America/Winnipeg
St. Anthony Airport	St. Anthony	Canada	YAY	CYAY	51.39189911	-56.08309937	A	America/St_Johns
Tofino / Long Beach Airport	Tofino	Canada	YAZ	CYAZ	49.079833	-125.775583	A	America/Vancouver
Banff Airport	Banff	Canada	YBA	CYBA	51.20734047	-115.5418611	A	\N
Kugaaruk Airport	Pelly Bay	Canada	YBB	CYBB	68.534401	-89.808098	A	America/Edmonton
Baie Comeau Airport	Baie Comeau	Canada	YBC	CYBC	49.13249969	-68.20439911	A	America/Toronto
Bella Coola Airport	Bella Coola	Canada	QBC	CYBD	52.387501	-126.596001	A	America/Vancouver
Uranium City Airport	Uranium City	Canada	YBE	CYBE	59.56140137	-108.4810028	N	America/Regina
Bonnyville Airport	Bonnyville	Canada	YBY	CYBF	54.304199	-110.744003	A	America/Edmonton
CFB Bagotville	Bagotville	Canada	YBG	CYBG	48.33060074	-70.99639893	A	America/Toronto
Baker Lake Airport	Baker Lake	Canada	YBK	CYBK	64.29889679	-96.07779694	A	America/Winnipeg
Campbell River Airport	Campbell River	Canada	YBL	CYBL	49.95080185	-125.2710037	A	America/Vancouver
Tadoule Lake Airport	Tadoule Lake	Canada	XTL	CYBQ	58.7061	-98.512199	A	America/Winnipeg
Brandon Municipal Airport	Brandon	Canada	YBR	CYBR	49.91	-99.951897	A	America/Winnipeg
Brochet Airport	Brochet	Canada	YBT	CYBT	57.8894	-101.679001	A	America/Winnipeg
Nipawin Airport	Nipawin	Canada	\N	CYBU	53.33250046	-104.0080032	\N	\N
Berens River Airport	Berens River	Canada	YBV	CYBV	52.358898	-97.018303	A	America/Winnipeg
Calgary / Springbank Airport	Calgary	Canada	\N	CYBW	51.10309982	-114.3740005	A	America/Edmonton
Lourdes de Blanc Sablon Airport	Lourdes-De-Blanc-Sablon	Canada	YBX	CYBX	51.4435997	-57.18529892	A	America/Blanc-Sablon
Cartwright Airport	Cartwright	Canada	YRF	CYCA	53.68280029	-57.04190063	A	America/Halifax
Cambridge Bay Airport	Cambridge Bay	Canada	YCB	CYCB	69.10810089	-105.1380005	A	America/Edmonton
Cornwall Regional Airport	Cornwall	Canada	YCC	CYCC	45.09280014	-74.56330109	A	America/Toronto
Nanaimo Airport	Nanaimo	Canada	YCD	CYCD	49.05497022	-123.8698626	A	America/Vancouver
